sample_name,variant_count,query_time_seconds,stats_calculation_time_seconds,total_time_seconds
RNA04_CAP2024_HD832_RNA_v2_3fc2cfe4-b3cb-49e5-a1d5-a480aa701081,17,0.0612,0.0627,0.1239
HD832_SSEQ_v27_2_c6288_2024-08-26-22-42-04-411,183,0.0664,0.0658,0.1322
RNA04_CAP2024_HD832_v1_43f70eaf-9dfd-4254-a034-807efcdf9007,164,0.0694,0.0539,0.1233
RNA05_CAP2024_HD832_v1_f231f0ad-bfe4-452c-bda5-6ef21379e4d4,166,0.0605,0.0589,0.1194
RNA06_CAP2024_HD832_v1_65289330-c462-4509-8d27-f27db59f8b9d,166,0.0562,0.0595,0.1157
HD832_SSEQ_v28_e2778e45-e3b0-425d-8e87-26ef15d56dce,182,0.0617,0.0627,0.1245
HD832_SSEQ_v29_7b53b170-4f80-4d0e-a3f2-435adaddb985,166,0.0672,0.0577,0.1249
HD832_SSEQ_v29_ARN_v27_c2861_2024-09-05-10-14-33-954,183,0.0562,0.047,0.1032
HD832_SSEQ_v30_d23bed18-e9f3-49e4-99eb-2bfafeb64fb9,184,0.0537,0.0559,0.1095
HD832_SSEQ_v31_94145c8e-23bb-4983-a2fa-6d10a73a2e22,182,0.0514,0.0582,0.1096
HD832_SSEQ_v32_8d99c764-1520-4567-a1b8-10bb38543856,182,0.0549,0.0529,0.1078
HD832_SSEQ_CHEF2_v1_0ba9c8b1-9381-4ed5-a57e-1ebd0e7eab5d,183,0.0552,0.0507,0.1058
HD832_SSEQ_CHEF1_v1_47a055e4-a010-4fab-b168-00940222eaf7,184,0.058,0.0508,0.1088
HD832_SSEQ_NEW_v1_441ef13d-19f1-4023-a9b6-51d1ba51b1ad,185,0.0519,0.0585,0.1105
HD832_SSEQ_v33_9619a472-66d3-4d68-a5df-f89660b12b47,186,0.0606,0.051,0.1116
HD832_SSEQ_v34_9f726970-703c-4a10-bd4b-9c43b072fe02,181,0.0548,0.0573,0.1121
HD832_SSEQ_v35_33deee59-2822-45ea-86bb-0fd6a38f707d,186,0.0679,0.0566,0.1245
HD832_SSEQ_v36_e39df5f8-9125-4601-ac85-052908ad1262,185,0.0625,0.0651,0.1275
HD832_SSEQ_v37_40d3dd50-2a87-4430-9606-f36d85543aba,184,0.0631,0.0584,0.1214
HD832_SSEQ_Val_S52_v1_41a72cde-931e-47b0-8c0d-f1246a5ce54f,183,0.0626,0.0627,0.1253
HD832_SSEQ_v38_03f32a95-1a22-4fbc-95be-b50653ac77ba,185,0.0554,0.066,0.1215
HD832_SSEQ_v39_19d17b00-808e-4b2f-8231-86a7aa4b49ca,183,0.0557,0.0692,0.125
